Product,Kcal,Protein_g,Fat_g
GRAPES,53.0,0.5,0.4
GRAPE JUICE,61.0,0.6,0.1
WATERMELONS,17.0,0.3,0.2
MELONS,17.0,0.4,0.1
FIGS,73.0,0.8,0.3
MANGOES,45.0,0.4,0.2
MANGO JUICE,62.0,0.3,0.4
MANGO PULP,65.0,0.5,0.3
AVOCADOS,119.0,1.5,11.3
PINEAPPLES,26.0,0.2,0.2
PINEAPPLES CANNED,78.0,0.4,0.1
PINEAPPLES JUICE,56.0,0.3,0.1
PINEAPPLES JUICE CONCENTRATED,179.0,1.3,0.1
PERSIMMONS,82.0,0.6,0.3
CASHEWAPPLE,43.0,0.8,0.6
KIWI,52.0,0.9,0.4
PAPAYAS,26.0,0.4,0.1
FRUIT TROPICAL NES,41.0,0.5,0.7
FRUIT NES FRESH,45.0,0.5,0.5
FRUIT NES JUICE,48.0,0.5,0.1
FRUIT NES PREPARED,36.0,0.5,0.2
FLOUR OF FRUIT,346.0,3.9,1.8
"FRUIT,NUTS,FRUIT PEEL PRESERVED BY SUGAR",212.0,0.6,0.0
APRICOTS DRIED,238.0,3.7,0.5
PLUMS DRIED,208.0,2.3,0.5
RAISINS,299.0,3.2,0.5
FIGS DRIED,253.0,3.0,1.2
DATES,156.0,1.5,0.4
FRUIT TROPICAL NES DRIED,267.0,2.8,0.6
FRUIT NES DRIED,267.0,2.8,0.6
COFFEE GREEN,47.0,6.7,0.0
COFFEE ROASTED,56.0,8.0,0.0
COFFEE SUBSTITUTES,56.0,8.0,0.0
COFFEE EXTRACTS,129.0,4.0,0.0
CHICORY ROOTS,60.0,1.1,0.2
COCOA BEANS,414.0,4.0,40.0
COCOA PASTE,472.0,1.7,44.0
COCOA BUTTER,711.0,0.0,85.0
COCOA POWDER,261.0,17.3,19.0
CHOCOLATE PRODUCTS NES,393.0,4.2,35.7
TEA,40.0,10.0,0.0
EXTRACT TEA,18.0,4.5,0.0
TEA NES,40.0,10.0,0.0
MATE,40.0,10.0,0.0
PEPPER WHITE/LONG/BLACK,276.0,10.7,2.7
PIMENTO,318.0,12.0,17.3
CINNAMON,261.0,3.9,3.2
CLOVES,323.0,6.0,20.1
NUTMEG,525.0,5.8,36.3
ANISE,345.0,15.8,14.9
GINGER,347.0,9.1,6.0
SPICES NES,337.0,11.3,15.5
WHEAT FERMENTED BEVERAGE,60.0,1.9,0.3
RICE FERMENTED BEVERAGE,133.0,0.3,0.0
BEER BARLEY,49.0,0.5,0.0
BEER MAIZE,40.0,0.4,0.0
BEER MILLET,40.0,0.4,0.0
BEER SORGHUM,40.0,0.4,0.0
"FERMENTED BEVERAGES, CIDER ETC.",47.0,0.1,0.0
MUST OF GRAPES,61.0,0.6,0.1
BEVERAGES DIST. ALCOHOL,295.0,0.0,0.0
BEEF BONELESS,150.0,18.5,7.9
BEEF DRIED SALTED SMOKED,203.0,34.3,6.3
MEAT EXTRACTS,238.0,16.0,8.9
BEEF SAUSAGES,313.0,11.7,28.4
BEEF PREPARATIONS,233.0,25.0,14.0
BEEF CANNED,233.0,25.0,14.0
HOMOGENIZED MEAT PREPARED,110.0,13.7,5.7
LIVER PREPARATIONS,315.0,13.6,2.8
OFFALS OF CATTLE,105.0,18.4,2.5
BUFFALO MEAT,77.0,11.3,3.1
OFFALS OF BUFFALO,105.0,18.4,2.5
MUTTON AND LAMB,263.0,13.5,22.8
OFFALS OF SHEEP,117.0,14.6,5.7
GOAT MEAT,123.0,14.0,7.0
OFFALS OF GOATS,117.0,14.6,5.7
PIGMEAT,326.0,11.0,31.0
PORK,220.0,13.4,18.0
BACON - HAM OF PIGS,362.0,13.1,34.1
PIG MEAT SAUSAGES,417.0,11.7,40.3
PIG MEAT PREPARATIONS,239.0,16.1,18.8
OFFALS OF PIGS,113.0,18.3,3.5
CHICKEN MEAT,122.0,12.3,7.7
CHICKEN MEAT CANNED,165.0,21.8,8.0
OFFAL OF CHICKENS,125.0,18.0,3.9
FAT LIVER PREPARATIONS,462.0,11.4,43.8
DUCK MEAT,291.0,8.3,28.3
OFFALS LIVER DUCKS,136.0,18.7,4.6
GOOSE MEAT,301.0,12.9,27.2
OFFALS LIVER GEESE,133.0,16.4,4.3
TURKEY MEAT,126.0,16.1,6.3
OFFALS LIVER TURKEYS,137.0,20.0,4.0
PIGEONS OTHER BIRDS,226.0,14.2,18.3
POULTRY MEAT,185.0,17.1,12.4
HORSEMEAT,85.0,15.5,2.0
OFFALS OF HORSES,105.0,18.4,2.5
MEAT OF ASSES,94.0,15.0,3.0
MEAT OF MULES,94.0,15.0,3.0
MEAT OF CAMELS,174.0,12.7,13.2
OFFALS OF CAMELS,105.0,18.4,2.5
RABBIT MEAT,118.0,17.0,5.0
OFFALS OF OTHER CAMELIDS,105.0,18.4,2.5
GAME MEAT,104.0,18.0,3.0
MEAT NES,126.0,16.4,6.0
MEAT NES DRIED,250.0,55.4,1.5
MEAT PREPARED NES,242.0,20.6,16.9
OFFALS NES,105.0,18.4,2.5
SNAILS NOT SEA,42.0,6.3,0.5
HEN EGGS,139.0,10.7,9.8
EGGS LIQUID HEN,158.0,12.1,11.2
EGGS DRY HEN,594.0,45.8,41.8
EGG ALBUMINE,49.0,10.1,0.0
EGGS EXCLUDING HEN EGGS,163.0,11.3,12.1
FRESHWATER DIADROMOUS FISH FRESH,69.0,10.9,2.5
FRESHWATER DIADROMOUS FISH FILLET,127.0,20.3,4.5
FRESHWATER DIADROMOUS FISH CURED,199.0,31.3,7.2
FRESHWATER DIADROMOUS FISH CANNED,161.0,19.8,8.4
FRESHWATER DIADROM. FISH PREPARED NES,262.0,26.9,15.0
DEMERSAL FISH FRESH,42.0,8.3,0.8
DEMERSAL FISH FILLET,90.0,17.9,1.6
DEMERSAL FISH CURED,186.0,37.9,1.9
DEMERSAL FISH CANNED,173.0,25.0,6.3
DEMERSAL FISH PREPARED NES,320.0,25.0,23.5
PELAGIC FISH FRESH,86.0,12.6,3.6
PELAGIC FISH FILLET,141.0,20.2,6.0
PELAGIC FISH CURED,156.0,26.4,4.5
PELAGIC FISH CANNED,185.0,20.8,10.2
PELAGIC FISH PREPARED NES,318.0,44.2,13.6
MARINE FISH NES FRESH,64.0,10.3,2.2
MARINE FISH NES FILLET,115.0,19.0,3.8
MARINE FISH NES CURED,169.0,32.1,3.2
MARINE FISH NES CANNED,179.0,22.9,8.2
MARINE FISH PREPARED NES,132.0,17.5,5.0
CRUSTACEANS FRESH,47.0,9.3,0.5
CRUSTACEANS FROZEN,91.0,18.4,0.8
CRUSTACEANS CURED,149.0,25.4,1.3
CRUSTACEANS CANNED,98.0,19.8,1.1
CRUSTACEANS PREPARED NES,113.0,19.5,1.8
MOLLUSCS FRESH,15.0,2.3,0.2
MOLLUSCS FROZEN,71.0,10.5,1.2
MOLLUSCS CURED,345.0,49.4,4.7
CEPHALOPODS FROZEN,74.0,15.1,0.9
